system:index,name,.geo
0,Jeonju Hanok Village,"{""type"":""Point"",""coordinates"":[127.15388880000002,35.8151786]}"
1,Gyeonggijeon Shrine,"{""type"":""Point"",""coordinates"":[127.1497961,35.8156565]}"
2,Jeondong Catholic Cathedral,"{""type"":""Point"",""coordinates"":[127.14945809999999,35.81332640000001]}"
3,Pungnammun Gate,"{""type"":""Point"",""coordinates"":[127.14743709999999,35.8134863]}"
4,Jeonju Hyanggyo (Confucian School),"{""type"":""Point"",""coordinates"":[127.1571541,35.8125818]}"
5,Omokdae and Imokdae,"{""type"":""Point"",""coordinates"":[127.15475790000002,35.81424100000001]}"
6,Pungpaejigwan Guesthouse,"{""type"":""Point"",""coordinates"":[127.1453005,35.8185194]}"
7,Jeonju Traditional Crafts Museum,"{""type"":""Point"",""coordinates"":[127.15203,35.81561000000001]}"
8,Hyanggyo Ginkgo Road,"{""type"":""Point"",""coordinates"":[127.15805,35.827749999999995]}"
9,Nambu Market Night Market,"{""type"":""Point"",""coordinates"":[127.14796,35.812470000000005]}"
